City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Port Hawkesbury,CA,45.6169,-61.3485,27.99,81,100,10.36,overcast clouds
182,Talara,PE,-4.5772,-81.2719,86.76,48,0,12.66,clear sky
183,Codrington,AU,-38.2667,141.9667,59.86,89,61,6.78,broken clouds
184,Constitucion,CL,-35.3333,-72.4167,67.98,70,53,9.31,broken clouds
185,Lompoc,US,34.6391,-120.4579,85.1,31,0,6.91,clear sky
186,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,77,75,7.07,broken clouds
187,Volodarka,UA,49.5248,29.9122,31.26,69,6,9.15,clear sky
188,Lagoa,PT,39.05,-27.9833,56.43,61,92,5.41,overcast clouds
189,Conceicao Do Araguaia,BR,-8.2578,-49.2647,81.16,72,98,4.85,overcast clouds
190,Santa Cruz De La Palma,ES,28.6835,-17.7642,65.14,63,20,6.91,few clouds
191,Portland,US,45.5234,-122.6762,62.28,45,20,5.75,few clouds
192,Hofn,IS,64.2539,-15.2082,21.42,59,16,10.71,few clouds
193,Hare Bay,CA,48.8499,-54.0148,33.4,63,95,10.94,overcast clouds
194,San Patricio,US,28.017,-97.5169,65.16,22,0,6.93,clear sky
195,New Norfolk,AU,-42.7826,147.0587,60.3,73,90,0.98,overcast clouds
196,Chokurdakh,RU,70.6333,147.9167,-4.25,96,100,10.49,overcast clouds
197,Fairbanks,US,64.8378,-147.7164,14.81,81,100,0.0,light snow
198,Zwedru,LR,6.0667,-8.1281,75.58,80,91,3.11,overcast clouds
199,Rundu,NA,-17.9333,19.7667,68.47,82,41,5.39,light rain
200,Sidhi,IN,24.4167,81.8833,54.54,46,0,2.84,clear sky
201,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,78,40,14.97,scattered clouds
202,Iqaluit,CA,63.7506,-68.5145,-16.31,68,75,0.0,broken clouds
203,Hambantota,LK,6.1241,81.1185,75.99,81,100,11.3,overcast clouds
204,Saint-Francois,FR,46.4154,3.9054,48.67,65,0,19.57,clear sky
205,Carnarvon,AU,-24.8667,113.6333,75.27,88,3,3.44,clear sky
206,Tartus,SY,34.889,35.8866,52.41,75,0,1.3,clear sky
207,Kavieng,PG,-2.5744,150.7967,80.74,78,96,6.8,overcast clouds
208,Grindavik,IS,63.8424,-22.4338,28.87,86,75,8.05,broken clouds
209,Geraldton,AU,-28.7667,114.6,73.81,83,100,0.0,overcast clouds
210,Auki,SB,-8.7676,160.7034,77.22,87,100,4.79,overcast clouds
211,Gazanjyk,TM,39.2446,55.5154,43.2,57,100,14.5,overcast clouds
212,Baruun-Urt,MN,46.6806,113.2792,-17.46,99,72,2.33,broken clouds
213,Pangnirtung,CA,66.1451,-65.7125,-25.6,75,20,0.0,few clouds
214,Praya,CV,14.9215,-23.5087,73.94,73,0,17.27,clear sky
215,Kenora,CA,49.8167,-94.4337,-3.03,54,100,10.36,overcast clouds
216,Ligayan,PH,4.6533,119.4706,81.88,76,99,12.55,overcast clouds
217,Golkoy,TR,40.6875,37.6178,35.01,98,100,1.99,overcast clouds
218,Labrea,BR,-7.2586,-64.7981,76.03,94,100,2.08,moderate rain
219,Raga,SS,8.4596,25.678,75.51,13,28,4.43,scattered clouds
220,Ukiah,US,39.1502,-123.2078,76.37,39,0,0.0,clear sky
221,Marsh Harbour,BS,26.5412,-77.0636,75.51,80,100,19.28,heavy intensity rain
222,The Valley,AI,18.217,-63.0578,78.94,73,40,17.27,scattered clouds
223,Trincomalee,LK,8.5711,81.2335,79.72,72,92,14.9,overcast clouds
224,Latung,PH,5.5,120.8833,81.82,75,100,9.04,overcast clouds
225,San Mateo Ixtatan,GT,15.8319,-91.4781,62.15,92,99,4.83,overcast clouds
226,Turinskaya Sloboda,RU,57.6232,64.3858,6.78,97,93,4.63,overcast clouds
227,Lusambo,CD,-4.9667,23.45,72.07,90,100,0.56,overcast clouds
228,Sinop,TR,41.7711,34.8709,33.48,94,100,4.83,overcast clouds
